congestion,congestionSpeed,warningcounts,weather,temperature,windspeed
0,1.464506173,0,1,287.953,7
0,1.647887324,0,3,273.95,7
0,1.520061728,0,1,276.28,2
0,1.574845679,0,1,283.16,3
0,2.166666667,0,5,281.2,10
0,1.304783951,0,0,272.42,2
0,2.16087963,0,0,289.04,2
0,2.137731481,0,0,291.51,2
0,1.722993827,0,5,278.85,10
0,2.166666667,0,0,289.04,3
0,1.750771605,0,1,275.21,2
0,1.647887324,0,1,287.1,1
0,1.716820988,0,1,281.79,1
0,1.76056338,0,1,272.42,6
0,1.684478372,0,1,274.25,1
0,1.645061728,0,1,275.89,1
0,1.699074074,0,1,285.832,2
0,1.74691358,0,0,291.51,6
0,1.716820988,0,4,275.76,5
0,1.709104938,0,4,273.95,4
0,1.69367284,0,6,281.45,5
0,1.68595679,0,4,290.71,11
0,1.68904321,0,1,280.5,0
0,1.758487654,0,0,280.65,3
0,1.760030864,0,3,270.93,8
0,1.734567901,0,1,282.16,5
0,1.74691358,0,5,275.4,7
0,2.012731481,0,1,279.24,4
0,1.377314815,0,5,291.871,8
0,1.695987654,0,5,286.9,8
0,2.00877193,0,0,271.04,3
0,1.758487654,0,0,277.56,5
0,2.048611111,0,6,286.22,4
0,1.408179012,0,0,273.44,3
0,1.473221423,0,1,287.1,7
0,1.712962963,0,4,290.71,7
0,1.68904321,0,0,288.6,3
0,1.675925926,0,0,285.832,3
0,1.695987654,0,1,294.48,1
0,1.712962963,0,1,282.39,1
0,1.711419753,0,1,283.59,3
0,1.683641975,0,6,281.45,5
0,1.665895062,0,6,281.45,5
0,1.574845679,0,1,272.42,7
0,1.696759259,0,0,276.61,2
0,1.753858025,0,6,281.2,7
0,1.672839506,0,4,280.79,7
0,1.722993827,0,1,280.45,3
0,1.633487654,0,5,274.55,7
0,1.49845679,0,1,287.119,5
0,1.615740741,0,5,286.22,7
0,1.69212963,0,1,259.68,2
0,1.739969136,0,1,288.6,0
0,1.673611111,0,1,273.44,4
0,1.638117284,0,0,291.65,1
0,1.684478372,0,1,288.48,6
0,1.615740741,0,1,279.24,6
0,1.462191358,0,0,280.5,0
0,1.68904321,0,4,279.11,7
0,1.49845679,0,0,270.18,1
0,1.49691358,0,5,281.45,8
0,1.473221423,0,4,279.75,8
0,1.722993827,0,1,280.06,2
0,1.722993827,0,7,281.45,7
0,2.244755245,0,1,286.53,3
0,1.473221423,0,1,287.1,5
0,2.206018519,0,3,279.25,2
0,1.684478372,0,1,291.26,3
0,1.69212963,0,5,286.22,8
0,1.69367284,0,0,291.51,2
0,1.333333333,0,0,267.72,6
0,1.675925926,0,5,268.16,5
0,1.356444444,0,1,283.59,7
0,2.048611111,0,1,281.15,5
0,1.673611111,0,0,296.37,1
0,1.965034965,0,1,281.12,2
0,1.966435185,0,5,273.95,5
0,2.048611111,0,5,286.22,4
0,1.760030864,0,1,282.05,3
0,1.645061728,0,1,287.86,7
0,2.012731481,0,5,274.55,6
0,2.125,0,5,275.33,7
0,2.047453704,0,1,282.34,5
0,1.304783951,0,1,273.44,5
0,2.125,0,1,285.95,4
0,1.711419753,0,1,280.06,1
0,1.965034965,0,1,294.02,3
0,1.69367284,0,1,286.53,3
0,1.304783951,0,1,291.26,11
0,1.76056338,0,1,275.21,3
0,1.684478372,0,1,274.25,4
0,2.125,0,5,273.95,9
0,2.064814815,0,5,291.871,5
0,1.753858025,0,5,276.38,5
0,1.638117284,0,4,288.49,7
0,1.966435185,0,1,293.185,3
0,1.966435185,0,1,281.12,2
0,1.377314815,0,1,272.27,5
0,2.076388889,0,5,286.9,4
0,1.675925926,0,1,281.94,6
0,1.69367284,0,6,281.45,9
0,1.665895062,0,5,268.16,5
0,1.69367284,0,1,284.36,10
0,2.048611111,0,5,271.25,9
0,2.174825175,0,5,272.15,1
0,1.684478372,0,5,256.15,4
0,1.514660494,0,2,270.82,4
0,1.966435185,0,5,273.95,2
0,1.965034965,0,5,279.11,2
0,2.041666667,0,5,270.93,5
0,2.244755245,0,5,270.93,2
0,2.125,0,5,256.97,5
0,2.040509259,0,0,261.742,2
0,1.716820988,0,0,292.294,2
0,1.366512346,0,1,285.15,4
0,2.076388889,0,0,278.46,3
0,2.171296296,0,5,275.96,1
0,2.092074592,0,1,295.94,3
0,1.377314815,0,0,284.36,2
0,1.966435185,0,6,265.93,5
0,1.709104938,0,6,279.11,9
0,1.966435185,0,5,274.59,2
0,2.00877193,0,0,286.98,4
0,1.377314815,0,0,290.948,5
0,1.449845679,0,1,286.05,7
0,1.699074074,0,1,291.26,6
0,2.076388889,0,5,269.42,2
0,2.128472222,0,1,296.37,2
0,2.107638889,0,1,287.04,5
0,1.615740741,0,0,275.89,2
0,2.107638889,0,1,277.6,4
0,1.716820988,0,0,291.84,6
0,1.69212963,0,4,266.76,5
0,1.602623457,0,1,272.42,4
0,1.377314815,0,3,271.27,8
0,1.519290123,0,1,276.28,7
0,1.633487654,0,1,268.34,5
0,1.675925926,0,0,295.94,0
0,1.615740741,0,1,287.04,5
0,1.753858025,0,0,275.05,4
0,1.462191358,0,1,276.55,3
0,1.760030864,0,5,281.45,5
0,2.040509259,0,5,291.85,2
0,1.699074074,0,1,285.38,2
0,1.68904321,0,1,285.193,6
0,2.076388889,0,5,265.93,0
