congestion,warningcounts,routeoption,datetime,day,directions
Heavy,0,1,06/06/2015 0:00,Sat,"Depart E Chestnut St toward N Michigan Ave,Depart E Chestnut St toward N Michigan Ave,Turn left onto N Michigan Ave,Turn right onto E Wacker Dr,Keep straight onto W Wacker Dr,Bear left onto N Wacker Dr,Turn right onto W Randolph St,Arrive at W Randolph St"
Heavy,0,1,06/07/2015 0:00,Sun,"Depart E Chestnut St toward N Michigan Ave,Depart E Chestnut St toward N Michigan Ave,Turn left onto N Michigan Ave,Turn right onto E Wacker Dr,Keep straight onto W Wacker Dr,Bear left onto N Wacker Dr,Turn right onto W Randolph St,Arrive at W Randolph St"
Heavy,0,1,06/08/2015 0:00,Mon,"Depart E Chestnut St toward N Michigan Ave,Depart E Chestnut St toward N Michigan Ave,Turn left onto N Michigan Ave,Turn right onto E Wacker Dr,Keep straight onto W Wacker Dr,Bear left onto N Wacker Dr,Turn right onto W Randolph St,Arrive at W Randolph St"
Heavy,0,1,06/09/2015 0:00,Tue,"Depart E Chestnut St toward N Michigan Ave,Depart E Chestnut St toward N Michigan Ave,Turn left onto N Michigan Ave,Turn right onto E Wacker Dr,Keep straight onto W Wacker Dr,Bear left onto N Wacker Dr,Turn right onto W Randolph St,Arrive at W Randolph St"
Heavy,0,1,06/10/2015 0:00,Wed,"Depart E Chestnut St toward N Michigan Ave,Depart E Chestnut St toward N Michigan Ave,Turn left onto N Michigan Ave,Turn right onto E Wacker Dr,Keep straight onto W Wacker Dr,Bear left onto N Wacker Dr,Turn right onto W Randolph St,Arrive at W Randolph St"
Heavy,0,1,06/11/2015 0:00,Thu,"Depart E Chestnut St toward N Michigan Ave,Depart E Chestnut St toward N Michigan Ave,Turn left onto N Michigan Ave,Turn right onto E Wacker Dr,Keep straight onto W Wacker Dr,Bear left onto N Wacker Dr,Turn right onto W Randolph St,Arrive at W Randolph St"
Heavy,0,1,06/12/2015 0:00,Fri,"Depart E Chestnut St toward N Michigan Ave,Depart E Chestnut St toward N Michigan Ave,Turn left onto N Michigan Ave,Turn right onto E Wacker Dr,Keep straight onto W Wacker Dr,Bear left onto N Wacker Dr,Turn right onto W Randolph St,Arrive at W Randolph St"
Heavy,0,1,6/13/2015 00:00,Sat,"Depart E Chestnut St toward N Michigan Ave,Depart E Chestnut St toward N Michigan Ave,Turn left onto N Michigan Ave,Turn right onto E Wacker Dr,Keep straight onto W Wacker Dr,Bear left onto N Wacker Dr,Turn right onto W Randolph St,Arrive at W Randolph St"
Heavy,0,1,6/14/2015 00:00,Sun,"Depart E Chestnut St toward N Michigan Ave,Depart E Chestnut St toward N Michigan Ave,Turn left onto N Michigan Ave,Turn right onto E Wacker Dr,Keep straight onto W Wacker Dr,Bear left onto N Wacker Dr,Turn right onto W Randolph St,Arrive at W Randolph St"
Heavy,0,1,6/15/2015 00:00,Mon,"Depart E Chestnut St toward N Michigan Ave,Depart E Chestnut St toward N Michigan Ave,Turn left onto N Michigan Ave,Turn right onto E Wacker Dr,Keep straight onto W Wacker Dr,Bear left onto N Wacker Dr,Turn right onto W Randolph St,Arrive at W Randolph St"
Heavy,0,1,6/16/2015 00:00,Tue,"Depart E Chestnut St toward N Michigan Ave,Depart E Chestnut St toward N Michigan Ave,Turn left onto N Michigan Ave,Turn right onto E Wacker Dr,Keep straight onto W Wacker Dr,Bear left onto N Wacker Dr,Turn right onto W Randolph St,Arrive at W Randolph St"
Heavy,0,1,6/17/2015 00:00,Wed,"Depart E Chestnut St toward N Michigan Ave,Depart E Chestnut St toward N Michigan Ave,Turn left onto N Michigan Ave,Turn right onto E Wacker Dr,Keep straight onto W Wacker Dr,Bear left onto N Wacker Dr,Turn right onto W Randolph St,Arrive at W Randolph St"
Heavy,0,1,6/18/2015 00:00,Thu,"Depart E Chestnut St toward N Michigan Ave,Depart E Chestnut St toward N Michigan Ave,Turn left onto N Michigan Ave,Turn right onto E Wacker Dr,Keep straight onto W Wacker Dr,Bear left onto N Wacker Dr,Turn right onto W Randolph St,Arrive at W Randolph St"
Heavy,0,1,6/19/2015 00:00,Fri,"Depart E Chestnut St toward N Michigan Ave,Depart E Chestnut St toward N Michigan Ave,Turn left onto N Michigan Ave,Turn right onto E Wacker Dr,Keep straight onto W Wacker Dr,Bear left onto N Wacker Dr,Turn right onto W Randolph St,Arrive at W Randolph St"
Heavy,0,1,6/20/2015 00:00,Sat,"Depart E Chestnut St toward N Michigan Ave,Depart E Chestnut St toward N Michigan Ave,Turn left onto N Michigan Ave,Turn right onto E Wacker Dr,Keep straight onto W Wacker Dr,Bear left onto N Wacker Dr,Turn right onto W Randolph St,Arrive at W Randolph St"
Heavy,0,1,6/21/2015 00:00,Sun,"Depart E Chestnut St toward N Michigan Ave,Depart E Chestnut St toward N Michigan Ave,Turn left onto N Michigan Ave,Turn right onto E Wacker Dr,Keep straight onto W Wacker Dr,Bear left onto N Wacker Dr,Turn right onto W Randolph St,Arrive at W Randolph St"
Heavy,0,1,6/22/2015 00:00,Mon,"Depart E Chestnut St toward N Michigan Ave,Depart E Chestnut St toward N Michigan Ave,Turn left onto N Michigan Ave,Turn right onto E Wacker Dr,Keep straight onto W Wacker Dr,Bear left onto N Wacker Dr,Turn right onto W Randolph St,Arrive at W Randolph St"
